hdong,행정동_코드,자치구_코드,longitude,latitude,자치구명
중곡1동,11215740,11215,127.07768909152678,37.56209737181454,광진구
중곡2동,11215750,11215,127.08457835917312,37.55891211949285,광진구
중곡3동,11215760,11215,127.08201907488169,37.567914877003595,광진구
중곡4동,11215770,11215,127.09449907328482,37.56387809623577,광진구
능동,11215780,11215,127.08178506993116,37.55058887039526,광진구
광장동,11215810,11215,127.10470862656273,37.54782272294704,광진구
자양1동,11215820,11215,127.08045622273272,37.53558814490071,광진구
자양2동,11215830,11215,127.0827458629586,37.52909935606437,광진구
회기동,11230710,11230,127.05150891260784,37.593718569706766,동대문구
휘경1동,11230720,11230,127.06260410145012,37.59195627228879,동대문구
휘경2동,11230730,11230,127.06582643327616,37.58663866455317,동대문구
이문1동,11230740,11230,127.06044581582486,37.59737235630449,동대문구
이문2동,11230750,11230,127.06751673938784,37.60284654638693,동대문구
면목2동,11260520,11260,127.07784189317408,37.58928928012044,중랑구
면목4동,11260540,11260,127.08537607090588,37.5736157956914,중랑구
면목5동,11260550,11260,127.0788764183158,37.582522137682346,중랑구
면목본동,11260565,11260,127.08937831220662,37.58831704664329,중랑구
면목7동,11260570,11260,127.0927950997119,37.57714209472521,중랑구
면목3?8동,11260575,11260,127.09835186573734,37.58448970223218,중랑구
상봉1동,11260580,11260,127.08943964601414,37.601723750827205,중랑구
상봉2동,11260590,11260,127.08401828830524,37.59432158968162,중랑구
중화1동,11260600,11260,127.08307633450134,37.60259335216246,중랑구
중화2동,11260610,11260,127.07503253581206,37.59918398617633,중랑구
묵1동,11260620,11260,127.08253374020212,37.61372996106673,중랑구
묵2동,11260630,11260,127.07462517776844,37.61082503349898,중랑구
망우본동,11260655,11260,127.107445930793,37.60213219711104,중랑구
망우3동,11260660,11260,127.10283411874144,37.59188302898037,중랑구
신내1동,11260680,11260,127.11042279893698,37.616473193912,중랑구
신내2동,11260690,11260,127.09159130020971,37.61098427331462,중랑구
성북동,11290525,11290,126.99413438628186,37.5966849155429,성북구
삼선동,11290555,11290,127.01170699375596,37.586557329429894,성북구
쌍문4동,11320681,11320,127.03041641107438,37.65542548189623,도봉구
방학1동,11320690,11320,127.0434770512704,37.665043874150136,도봉구
방학2동,11320700,11320,127.03268894171384,37.66918285777328,도봉구
방학3동,11320710,11320,127.02356270788486,37.66319351247468,도봉구
월계1동,11350560,11350,127.0582341631986,37.62188938530012,노원구
월계2동,11350570,11350,127.05129877305738,37.63397483256615,노원구
월계3동,11350580,11350,127.0647382826748,37.624417770080306,노원구
공릉1동,11350595,11350,127.07255425519504,37.62421500596216,노원구
공릉2동,11350600,11350,127.09431289674852,37.63162374762954,노원구
하계1동,11350611,11350,127.07507206853384,37.63851207605814,노원구
하계2동,11350612,11350,127.06496276368706,37.63504928301639,노원구
중계본동,11350619,11350,127.08601711008188,37.64863166312262,노원구
중계1동,11350621,11350,127.0737013104592,37.650144641816766,노원구
중계4동,11350624,11350,127.0825162344982,37.65936486322478,노원구
상계3?4동,11350665,11350,127.08422341168568,37.67577951652711,노원구
상계5동,11350670,11350,127.06999941345408,37.66601318533668,노원구
상계6?7동,11350695,11350,127.06010209231592,37.648665731816386,노원구
상계8동,11350700,11350,127.05350866498593,37.666526368099404,노원구
상계9동,11350710,11350,127.06218021049642,37.6676032920724,노원구
상계10동,11350720,11350,127.05838836607508,37.659721646634786,노원구
녹번동,11380510,11380,126.93457613990928,37.605307427951566,은평구
불광1동,11380520,11380,126.93865492691032,37.616869307390246,은평구
불광2동,11380530,11380,126.92870306420276,37.62427884144315,은평구
갈현1동,11380551,11380,126.91473488632758,37.62519759123378,은평구
갈현2동,11380552,11380,126.91245511588517,37.617979013946865,은평구
구산동,11380560,11380,126.90731000319286,37.611064504480815,은평구
대조동,11380570,11380,126.92315350861104,37.61225618022568,은평구
응암1동,11380580,11380,126.92706321251218,37.59834737843492,은평구
응암2동,11380590,11380,126.92289117509014,37.59209184653542,은평구
응암3동,11380600,11380,126.91755026855203,37.588925754519096,은평구
역촌동,11380625,11380,126.91462253445144,37.60457388799247,은평구
신사1동,11380631,11380,126.90850249307356,37.59913633076466,은평구
신사2동,11380632,11380,126.90620029351606,37.592854615391595,은평구
증산동,11380640,11380,126.90593951784857,37.58413280264272,은평구
수색동,11380650,11380,126.89453653524302,37.58559178366748,은평구
진관동,11380690,11380,126.93782040730471,37.639681845341414,은평구
천연동,11410520,11410,126.95665672530488,37.57132315392149,서대문구
북아현동,11410555,11410,126.95502259620308,37.55929424518772,서대문구
충현동,11410565,11410,126.95831351907644,37.5639445956383,서대문구
신촌동,11410585,11410,126.94157317998902,37.564072647477865,서대문구
연희동,11410615,11410,126.9327939053264,37.572230995998346,서대문구
홍1동,11410620,11410,126.94432054000058,37.58340031222398,서대문구
홍3동,11410640,11410,126.95173035658188,37.592395480919414,서대문구
홍2동,11410655,11410,126.95251672697694,37.584385976342816,서대문구
홍은1동,11410660,11410,126.9468896728921,37.60054737302956,서대문구
홍은2동,11410685,11410,126.93213511532542,37.587169095847806,서대문구
남가좌1동,11410690,11410,126.9162786769141,37.5718149913034,서대문구
남가좌2동,11410700,11410,126.92134352287884,37.577927216905486,서대문구
북가좌1동,11410710,11410,126.90810135396327,37.57541288721553,서대문구
북가좌2동,11410720,11410,126.9133360002854,37.58117419706544,서대문구
아현동,11440555,11440,126.95272977223212,37.55183308979032,마포구
공덕동,11440565,11440,126.95794822293418,37.549321278274334,마포구
도화동,11440585,11440,126.94910605233989,37.538640956435955,마포구
중계2?3동,11350625,11350,127.06589918224572,37.64343693097218,노원구
상계1동,11350630,11350,127.06511826338296,37.683386860842326,노원구
상계2동,11350640,11350,127.0671007928886,37.65665367440115,노원구
망원2동,11440700,11440,126.90017638433788,37.55899031399904,마포구
연남동,11440710,11440,126.92154029818884,37.563015878489466,마포구
성산1동,11440720,11440,126.91184156004186,37.56199991897573,마포구
성산2동,11440730,11440,126.90196369221974,37.56832613063574,마포구
상암동,11440740,11440,126.87989855888374,37.57072942215392,마포구
목1동,11470510,11470,126.8744357571103,37.52752088177435,양천구
목2동,11470520,11470,126.87428427264103,37.54363060277917,양천구
목3동,11470530,11470,126.86554590848546,37.54517069417377,양천구
창2동,11320512,11320,127.0367675730778,37.642512582863006,도봉구
창3동,11320513,11320,127.0417274267324,37.63729423171835,도봉구
창4동,11320514,11320,127.0509150392998,37.65271546809183,도봉구
창5동,11320515,11320,127.04279145964306,37.655367583048815,도봉구
도봉1동,11320521,11320,127.02680076230416,37.68532087610572,도봉구
도봉2동,11320522,11320,127.04770365637532,37.681250862632965,도봉구
쌍문1동,11320660,11320,127.01951393584568,37.65306721503059,도봉구
쌍문2동,11320670,11320,127.03692209518748,37.65710846171442,도봉구
쌍문3동,11320680,11320,127.03058321327217,37.64765896613047,도봉구
화곡2동,11500550,11500,126.85437971009937,37.532264149877726,강서구
가양2동,11500604,11500,126.85435783656128,37.56677233849349,강서구
목4동,11470540,11470,126.86695519731316,37.53535139766359,양천구
목5동,11470550,11470,126.879886311553,37.53605001799943,양천구
신월1동,11470560,11470,126.83449222083615,37.53126487272668,양천구
신월2동,11470570,11470,126.846331090338,37.52342414120445,양천구
신월3동,11470580,11470,126.82746371641082,37.5324441338088,양천구
신월4동,11470590,11470,126.83985175060228,37.522154130799024,양천구
신월5동,11470600,11470,126.82943569861496,37.540898373457786,양천구
